player,season,AGE,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,OFFRTG,DEFRTG,player_possessions,WS,win_score_final,win_score_final_40_game_season,wins_per_100_poss,Pos,Player
LaToya Thomas,12033,147,3343,1380,529,1152,26,66,296,364,193,348,157,206,86,46,334,568.9,577.6,6093.94075,9.4,5.84,6.87,0.10,F,LaToya Thomas
Danielle Adams,12082,154,3330,1820,640,1517,188,567,352,465,231,439,138,217,104,100,420,600.3,610.8,6615.09325,10.3,5.74,6.75,0.09,F,Danielle Adams
DiJonai Carrington,8090,102,2557,1073,377,937,71,249,248,322,133,314,152,191,123,27,275,397.4,374.8,5114.6515,5.8,6.55,6.75,0.13,G,DiJonai Carrington
Lexie Brown,14147,189,2858,945,333,855,184,516,95,118,22,225,271,158,137,14,169,689,691.6,5794.2085,3.7,5.48,6.53,0.09,G,Lexie Brown
Anna Cruz,6045,87,1622,456,187,401,27,86,55,73,25,179,200,122,68,13,111,285.1,286.4,3118.326,3.1,5.49,6.46,0.18,G,Anna Cruz
Stacey Thomas,12015,147,2295,438,153,447,20,86,112,217,139,216,232,163,154,49,251,439.6,456.6,4200.1575,2.5,5.12,6.33,0.12,F,Stacey Thomas
Tammy Jackson,11997,225,1939,403,160,346,1,2,82,142,160,237,57,148,100,58,316,577,508.3,3463.0115,4.4,4.90,6.29,0.14,F,Tammy Jackson
Korie Hlede,10000,130,3054,1186,430,1039,83,209,243,302,114,261,273,281,120,11,313,459.5,483.8,5762.19775,5.8,4.87,6.26,0.08,G,Korie Hlede
Penny Toler,5994,99,2253,879,339,831,35,111,166,205,73,170,345,248,82,6,176,285.3,281.1,4331.21,4.1,4.53,6.24,0.10,G,Penny Toler
Aneika Morello,12087,177,2081,623,257,519,0,0,109,150,191,353,55,139,44,96,258,560.9,612.6,4202.6645,5.1,5.25,6.18,0.12,F,Aneika Morello
Rebecca Lobo,12000,162,2327,808,316,777,41,139,135,215,153,347,115,188,52,104,230,462.3,521.7,4374.49525,5.2,4.47,6.14,0.10,C,Rebecca Lobo
Kiesha Brown,18054,252,2599,797,274,738,103,287,146,170,57,257,305,202,96,10,201,794.8,842.3,5070.2165,2.9,5.15,6.07,0.10,G,Kiesha Brown
Krystal Thomas,14101,185,2847,636,264,512,0,1,108,203,304,558,83,196,44,118,413,664.1,721.9,5681.34375,3.6,5.09,5.99,0.09,C,Krystal Thomas
Mery Andrade,10006,131,2737,571,201,536,41,152,128,175,87,205,295,206,136,31,327,468.8,449.8,4646.081,4.7,4.73,5.91,0.10,F,Mery Andrade
Barbara Turner,8030,98,1692,609,188,462,65,213,168,217,62,189,134,112,38,24,155,381.4,372.7,3364.2545,5.2,5.02,5.90,0.15,G,Barbara Turner
Kelly Mazzante,14050,183,2882,933,326,922,218,648,63,73,79,248,173,124,124,15,184,674.9,673.1,5822.19575,3.9,4.96,5.84,0.09,G,Kelly Mazzante
Shalonda Enis,10005,135,2464,817,277,696,62,168,201,266,190,259,90,154,73,14,239,507.9,495.7,4277.4485,5.8,4.76,5.77,0.11,F,Shalonda Enis
Jurgita Streimikyte,6006,93,1824,553,227,502,5,21,94,119,107,204,128,120,82,53,223,284.5,281.5,3162.1285,4.5,4.70,5.76,0.15,F,Jurgita Streimikyte
Karlie Samuelson,12127,163,1984,586,188,449,119,300,91,99,32,186,153,67,61,10,172,567.8,583.1,3997.0625,5.4,5.57,5.70,0.14,G,Karlie Samuelson
Annie Burgess,8005,133,2526,434,157,441,52,162,68,105,81,174,329,173,95,7,150,363.4,384.8,4461.26425,1.7,4.60,5.68,0.10,G,Annie Burgess
Tamara Moore,12027,153,2273,635,210,507,53,162,162,191,60,182,266,207,114,34,244,534.3,553.3,4175.839,4.7,4.78,5.68,0.11,G,Tamara Moore
Tyasha Harris,10110,125,3279,1097,404,985,155,405,134,178,30,182,428,184,113,33,220,500.7,500.7,6512.00375,6.1,5.05,5.59,0.08,G,Tyasha Harris
Naz Hillmon,6069,72,2083,543,208,402,1,6,126,156,166,336,120,117,58,24,163,294.6,299.4,4235.77925,5.4,5.36,5.55,0.13,F,Naz Hillmon
Monica Wright,14091,175,3281,1293,469,1168,72,238,283,367,81,307,292,275,152,34,379,660.9,650.4,6634.10275,5.3,4.63,5.45,0.07,G,Monica Wright
Sidney Spencer,10045,125,1965,707,259,636,122,292,67,73,89,183,92,77,53,16,184,487.5,482.3,3913.1115,5.5,4.59,5.40,0.12,G,Sidney Spencer
Tracy Reid,12003,147,2449,867,339,722,0,6,189,321,156,239,112,201,94,30,179,562.4,616.3,4480.127,3.2,4.05,5.32,0.09,F,Tracy Reid
Jeanette Pohlen-Mavunga,12084,156,1986,505,175,410,103,245,52,63,38,142,116,92,59,16,132,569.9,589,3842.95475,3.8,4.52,5.32,0.12,G,Jeanette Pohlen-Mavunga
Imani McGee-Stafford,8070,94,1672,534,234,475,2,7,64,102,182,328,68,109,58,95,259,381.7,388.7,3381.3645,3.7,4.51,5.30,0.13,C,Imani McGee-Stafford
Gabby Williams,12126,150,3410,1080,436,1016,67,261,141,188,142,427,361,221,197,40,238,589.9,604.5,7030.0635,5.5,4.50,5.26,0.06,F,Gabby Williams
Shalee Lehning,6030,72,1700,263,97,226,23,75,46,74,51,141,327,142,51,11,135,293.6,289.5,3596.0185,2,4.45,5.23,0.12,G,Shalee Lehning
Tayler Hill,14112,182,2860,1285,379,1119,174,539,353,420,41,199,244,149,109,13,169,655.9,699,5599.159,6.1,4.44,5.23,0.08,G,Tayler Hill
Sandrine Gruda,12074,158,2398,1008,401,877,2,11,204,312,205,305,117,205,75,94,246,553.4,554.4,4773.495,4.4,4.32,5.08,0.09,F,Sandrine Gruda
Edwige Lawson-Wade,10038,148,1923,558,186,485,116,321,70,82,38,153,227,129,93,5,180,460.7,483.6,3735.437,3.6,4.31,5.07,0.12,G,Edwige Lawson-Wade
Stephanie Talbot,12121,163,3309,907,329,766,133,369,116,159,128,396,306,221,124,68,306,599.7,597.8,6716.51075,5.8,4.38,5.02,0.07,F,Stephanie Talbot
Amanda Lassiter,12021,153,3679,919,336,939,170,521,77,115,134,371,258,255,149,111,438,553.4,566.5,6642.75675,4,4.12,5.02,0.06,F,Amanda Lassiter
Ashley Battle,12045,159,2134,701,247,642,74,219,133,179,84,252,149,169,112,8,162,549.4,554.6,4201.10075,2.9,4.25,5.00,0.10,F,Ashley Battle
Chante Black,8044,104,1516,368,151,313,0,1,66,124,153,255,38,94,46,100,160,338.3,408.7,3109.315,1.6,4.25,5.00,0.14,C,Chante Black
Barbara Farris,20045,285,4455,1084,377,869,0,5,330,484,282,537,158,315,103,32,563,900.7,920.6,8457.575,3.2,4.08,4.91,0.05,F,Barbara Farris
Kristin Haynie,10035,125,2229,552,205,582,53,165,89,111,70,190,289,218,135,14,202,456.8,457.1,4454.03775,1.6,4.17,4.91,0.09,G,Kristin Haynie
Michelle Edwards,9995,170,2377,758,287,732,38,163,146,238,32,199,280,239,99,16,174,453.5,469.2,4307.333,0.3,3.53,4.87,0.08,G,Michelle Edwards
Hamchetou Maiga-Ba,18054,261,4518,1441,599,1334,1,9,242,385,270,403,287,385,251,50,580,823.2,822.9,8770.2355,5.7,4.00,4.68,0.05,F,Hamchetou Maiga-Ba
NaLyssa Smith,6069,69,2858,1334,516,1126,70,212,232,374,206,617,130,212,55,57,293,299.7,322.7,5797.5,3.2,4.61,4.64,0.08,F,NaLyssa Smith
Kelsey Mitchell,14147,182,7085,3923,1382,3246,558,1476,601,716,93,378,649,471,178,33,491,697.4,752,14293.828,11.9,4.80,4.55,0.03,G,Kelsey Mitchell
Chantel Tremitiere,7994,118,2272,445,147,412,32,104,119,162,56,185,304,205,92,5,189,378.1,391.9,4263.20275,-0.8,3.32,4.51,0.08,G,Chantel Tremitiere
Aari McDonald,8090,98,2502,1002,330,848,134,415,208,245,42,188,321,199,116,12,221,386.7,402.5,5153.57275,3.6,4.10,4.45,0.08,G,Aari McDonald
Niele Ivey,10015,130,2236,408,132,373,90,250,54,66,37,110,228,102,94,18,173,456.2,484.1,3882.82825,3.5,3.65,4.44,0.09,G,Niele Ivey
Bridget Carleton,12129,153,3569,953,330,785,199,501,94,127,114,355,263,134,108,26,274,590.3,601,7178.683,8.6,3.78,4.40,0.05,F,Bridget Carleton
Sydney Colson,20185,295,2538,679,237,587,52,160,153,195,39,142,394,210,147,26,284,910,999.7,5089.87825,2.9,3.82,4.36,0.08,G,Sydney Colson
Rachel Banham,18180,243,3555,1371,477,1233,286,773,131,165,29,266,376,213,86,26,388,905.2,894,7291.50625,5.7,3.34,4.32,0.05,G,Rachel Banham
Tonya Edwards,8002,134,2843,1119,373,1030,118,367,255,329,61,230,214,210,98,31,291,379.4,377.7,4849.3895,5.1,3.45,4.32,0.07,G,Tonya Edwards
K.B. Sharp,12037,157,2167,432,148,387,33,124,103,131,39,120,216,132,61,3,84,544.7,555.5,4082.65,1.9,3.67,4.31,0.09,G,K.B. Sharp
Stacey Lovelace,14031,213,2550,883,324,815,74,214,161,209,168,304,116,217,104,57,291,605.2,681.2,4789.0595,2.6,3.63,4.29,0.08,C,Stacey Lovelace
Lady Grooms,16004,244,4396,1111,388,948,2,21,333,450,214,288,283,277,122,35,271,735.4,757.3,8013.292,5.2,3.54,4.28,0.04,F,Lady Grooms
Alicia Thompson,12010,154,2119,759,311,712,53,151,84,119,106,249,107,126,51,19,167,562.9,591.7,3847.454,3.8,3.38,4.16,0.09,F,Alicia Thompson
Belinda Snell,12048,168,1539,509,166,470,108,342,69,83,67,143,130,86,71,13,158,568.9,577.4,3094.02625,3.3,3.51,4.13,0.11,G,Belinda Snell
Teresa Edwards,4007,79,1556,375,137,368,49,165,52,70,53,142,227,185,88,19,97,186.8,190.3,2806.811,1,3.50,4.11,0.12,G,Teresa Edwards
Kerri Gardin,8038,106,1733,389,129,388,32,114,99,171,125,233,123,118,87,47,168,372.7,383,3445.16025,1.7,3.45,4.06,0.10,F,Kerri Gardin
Kisha Ford,9995,125,1807,440,163,445,7,47,107,179,106,112,90,100,111,15,242,434.6,430.5,3196.49325,3,3.09,4.06,0.10,G,Kisha Ford
Tynesha Lewis,12021,153,1875,568,217,537,41,117,93,130,80,141,126,133,69,29,139,562,546.2,3198.774,2.4,3.37,4.06,0.11,G,Tynesha Lewis
Clarisse Machanguana,8002,98,1673,485,196,372,0,1,93,143,96,212,62,107,49,27,256,373.3,380.1,2999.00225,4.6,3.22,4.02,0.11,C,Clarisse Machanguana
Allison Hightower,12077,155,2417,763,298,789,58,220,109,133,58,172,201,112,118,19,222,581.6,576.9,4755.5475,3.9,3.33,3.92,0.07,G,Allison Hightower
Vanessa Hayden,10032,127,1942,827,341,807,0,0,145,245,181,353,67,186,46,177,424,448.8,463.8,3661.57725,2.3,3.32,3.91,0.09,C,Vanessa Hayden
Gordana Grubin,12011,179,2835,1013,362,951,114,336,175,232,72,195,295,210,99,5,195,545.5,568,5114.94675,3.4,3.11,3.89,0.06,G,Gordana Grubin
Rebecca Allen,18175,247,3754,1289,478,1217,210,578,123,153,120,460,169,164,158,172,372,869.9,864.3,7678.22625,6.1,3.39,3.88,0.04,F,Rebecca Allen
Edna Campbell,14014,238,3426,1143,421,1112,161,415,140,193,52,224,221,225,97,30,219,638.1,632.2,6144.16275,3.6,3.12,3.83,0.05,G,Edna Campbell
Ayana Walker,12027,153,1514,360,144,377,2,9,70,120,131,186,56,82,42,73,167,538.5,566.2,2853.3935,2.1,3.13,3.78,0.11,F,Ayana Walker
Amanda Zahui B,16149,205,3345,1285,482,1155,130,434,191,257,186,633,153,271,104,171,530,733.5,780.8,6838.21225,3.6,2.01,3.75,0.03,C,Amanda Zahui B
Lynn Pride,8006,94,1860,425,173,459,5,23,74,122,105,228,112,137,72,55,229,357.6,374.5,3307.3955,0.6,2.96,3.70,0.09,G,Lynn Pride
La'Keshia Frett,14014,196,2754,794,330,758,6,18,128,169,150,229,159,150,55,50,249,657.8,667.4,4916.717,4.2,3.00,3.70,0.06,F,La'Keshia Frett
Deanna Jackson,10020,125,2511,830,299,758,30,91,202,286,173,199,146,148,77,35,278,462.4,475.7,4417.27575,4.9,3.08,3.64,0.07,F,Deanna Jackson
Nikki McCray,18018,279,6403,2521,896,2176,175,604,554,724,179,306,450,565,235,14,517,806.3,866.4,11341.56675,7.5,2.91,3.59,0.03,G,Nikki McCray
Chelsea Newton,10035,125,2758,714,247,659,36,126,184,253,101,161,223,159,136,26,353,467,465.4,5260.93125,5.2,3.00,3.53,0.06,G,Chelsea Newton
Adia Barnes,14007,175,2004,480,184,508,30,91,82,132,148,187,114,129,85,28,225,653.3,609.9,3593.352,2.4,2.84,3.41,0.08,F,Adia Barnes
Olympia Scott,20030,280,3505,1033,389,889,1,15,254,374,262,449,174,324,121,72,580,892.6,984.6,6298.138,3.2,2.74,3.40,0.04,C,Olympia Scott
Monica Maxwell,8002,98,1572,448,151,435,81,237,65,81,67,184,94,103,66,25,136,356.9,373.9,2813.042,1.9,2.71,3.38,0.10,F,Monica Maxwell
Marine Johannès,6064,82,1619,626,220,504,136,344,50,62,22,102,186,113,45,8,123,302.1,303.4,3322.4205,3.1,3.08,3.37,0.09,G,Marine Johannès
Kayla Pedersen,12082,154,2928,620,231,616,25,82,133,188,168,387,196,150,119,53,327,553.7,587.6,5790.739,2.4,2.82,3.31,0.05,F,Kayla Pedersen
Tiffany Mitchell,18180,234,6030,2354,774,2028,138,503,668,757,167,475,476,415,195,28,552,869.9,923.2,12079.82775,3.5,2.92,3.29,0.02,G,Tiffany Mitchell
Gwen Jackson,6012,72,1522,437,173,405,8,40,83,126,125,184,38,71,21,24,131,271.6,294.5,2750.7395,2.3,2.79,3.28,0.10,F,Gwen Jackson
Stacey Dales,10022,127,3825,1364,459,1203,232,662,214,290,104,217,395,262,93,20,324,473,492.7,7041.60425,6.3,2.66,3.26,0.04,F,Stacey Dales
Bria Holmes,10093,128,2553,880,325,837,65,241,165,244,99,209,168,143,98,30,145,471.1,512.6,5214.1415,2.6,2.87,3.25,0.05,G,Bria Holmes
Kayte Christensen,12027,147,1939,463,181,389,0,1,101,166,163,209,74,143,90,47,384,548.3,558.1,3530.11275,2.9,2.58,3.10,0.07,F,Kayte Christensen
Tamicha Jackson,14021,182,2935,1030,413,1116,84,283,120,169,71,186,389,242,188,7,219,634.6,691.5,5408.72,2.5,2.55,3.10,0.05,G,Tamicha Jackson
Theresa Plaisance,18162,243,2876,974,352,969,172,511,98,125,163,481,146,151,91,102,413,872,929,5907.1145,3.5,2.66,3.06,0.05,F,Theresa Plaisance
Lynetta Kizer,14105,182,2322,1050,438,919,3,14,171,214,188,310,62,161,87,40,375,665.7,675.7,4635.6845,5,2.57,3.03,0.06,F,Lynetta Kizer
Andrea Nagy,8002,118,2262,327,110,286,32,98,75,105,24,155,361,192,60,18,242,372.2,384.9,4033.41475,0.4,2.41,3.01,0.06,G,Andrea Nagy
Alex Bentley,14112,182,5468,2350,925,2389,239,807,261,334,53,315,645,313,244,30,516,688.5,697.8,10913.8415,8.4,2.56,3.01,0.02,G,Alex Bentley
Elena Tornikidou,6000,108,1733,657,242,513,23,57,150,170,72,124,146,138,49,28,140,270.6,287.8,3159.42375,4.3,2.38,2.97,0.08,F,Elena Tornikidou
Adrienne Johnson,11999,161,3013,1010,409,997,102,301,90,115,104,188,129,166,73,13,199,569.7,568.4,5393.139,2.9,2.32,2.97,0.04,G,Adrienne Johnson
Sydney Wiese,10095,125,1862,466,166,427,96,264,38,47,18,118,132,84,41,13,88,493.8,511.3,3768.365,1.7,1.93,2.95,0.05,G,Sydney Wiese
Kia Nurse,12125,155,4788,1872,593,1635,295,910,391,460,97,398,342,258,119,18,391,571.6,626.1,9722.87525,3.9,2.88,2.88,0.03,G,Kia Nurse
Kayla Alexander,16132,212,2404,818,330,650,0,0,158,207,223,344,61,167,46,91,305,737.4,794.7,4735.59825,4,2.43,2.87,0.05,C,Kayla Alexander
Victoria Vivians,12128,164,3725,1190,432,1210,192,621,134,168,94,435,247,203,145,31,331,591.7,629.3,7550.50325,-0.1,2.81,2.82,0.04,G,Victoria Vivians
Yvonne Turner,10099,164,1788,582,203,536,66,214,110,138,32,175,183,143,69,7,137,471.4,500.3,3610.0775,0.4,2.44,2.82,0.07,G,Yvonne Turner
Kennedy Burke,10106,126,1685,578,214,506,61,196,89,131,66,130,94,94,79,36,121,474.6,508,3433.964,2.5,2.57,2.76,0.07,G,Kennedy Burke
Kristy Wallace,6069,84,1777,557,206,511,79,211,66,88,51,147,179,110,58,21,151,289.9,304.1,3646.01375,1.6,2.64,2.75,0.07,G,Kristy Wallace
Jenna O'Hea,12081,165,2400,679,228,553,132,321,91,109,62,184,218,128,64,34,218,570.1,582.3,4697.30875,4.7,2.33,2.74,0.05,F,Jenna O'Hea
Vanessa Nygaard,10005,135,1735,493,179,420,80,222,55,74,102,143,56,71,39,8,221,458.8,491.3,3127.4055,4.2,2.18,2.73,0.07,F,Vanessa Nygaard
Shekinna Stricklen,20165,265,6147,2245,795,1995,468,1287,187,250,140,586,242,219,213,54,505,979.4,990.9,12126.26225,14.7,3.26,2.72,0.03,F,Shekinna Stricklen
Slobodanka Tuvic,8010,102,1706,358,125,334,1,11,107,161,85,231,72,132,60,78,278,368.3,370.1,3024.6195,0.6,2.07,2.46,0.07,C,Slobodanka Tuvic
Tamera Young,24162,330,8197,2641,1029,2584,64,213,519,757,412,1021,552,501,305,83,847,1165.8,1178,16346.98675,6.7,2.06,2.43,0.01,F,Tamera Young
Megan Gustafson,12129,153,1631,666,255,492,50,138,106,134,123,259,59,96,38,32,231,564.5,607.8,3352.648,4.5,2.31,2.41,0.07,C,Megan Gustafson
Edwina Brown,10012,122,2526,662,230,689,27,72,175,217,126,220,280,245,113,26,279,414.7,479,4543.64925,-0.5,1.92,2.35,0.04,G,Edwina Brown
Jamierra Faulkner,10082,127,2099,814,305,790,59,209,145,184,32,146,410,230,93,20,202,479.8,513.1,4243.87525,0.3,1.97,2.32,0.05,G,Jamierra Faulkner
Ketia Swanier,10050,120,1753,382,135,387,47,165,65,91,28,190,262,197,78,6,146,480.2,487.3,3699.45425,-1.4,1.84,2.16,0.05,G,Ketia Swanier
Charde Houston,14077,182,3763,1797,702,1620,124,388,269,368,168,512,245,331,185,84,487,660.9,696.2,7749.50925,6.1,1.76,2.07,0.02,F,Charde Houston
Chennedy Carter,8087,95,1937,1225,489,1034,24,82,223,288,44,168,239,164,73,24,247,396.6,419.5,4027.15275,3.7,2.06,2.06,0.05,G,Chennedy Carter
Jordan Horston,4047,47,1677,515,212,500,23,93,68,95,94,256,127,137,94,47,152,195.5,197.3,3457.25575,1.4,2.05,2.05,0.06,F,Jordan Horston
Shannon Bobbitt,8040,100,1762,377,131,415,54,192,61,83,50,121,262,163,84,4,145,360.4,384.2,3432.83825,0.1,1.73,2.03,0.05,G,Shannon Bobbitt
Amber Holt,10050,130,2913,962,337,898,97,331,191,237,116,289,258,132,83,17,239,476.3,496.7,5846.546,4.2,1.72,2.03,0.03,F,Amber Holt
Kristen Mann,12045,147,2326,647,248,636,82,242,69,91,85,222,169,102,70,20,200,543.1,592.1,4590.134,3.1,1.66,1.95,0.04,F,Kristen Mann
Shanna Zolman,8032,100,1914,926,330,827,199,488,67,83,20,119,115,132,53,8,105,361.2,395.7,3912.994,2.6,1.62,1.91,0.04,G,Shanna Zolman
Carla Boyd,5998,73,1737,489,180,500,46,149,83,123,86,130,133,121,62,20,202,285.4,270.9,3298.299,2,1.35,1.76,0.04,F,Carla Boyd
Ashley Robinson,20085,265,3577,556,246,642,1,8,63,151,256,478,149,251,112,204,567,892.4,947.5,6818.69275,0.1,1.42,1.67,0.02,C,Ashley Robinson
Quanitra Hollingsworth,10058,118,1513,450,150,329,0,1,150,223,137,262,30,138,47,29,254,448.8,479.2,3041.4915,1.9,1.41,1.66,0.05,C,Quanitra Hollingsworth
Jessie Hicks,12007,181,1970,705,272,609,0,1,161,237,174,186,83,193,85,81,356,527.3,586.1,3538.766,2.2,1.22,1.41,0.03,C,Jessie Hicks
Doneeka Lewis,12041,149,1558,409,150,429,62,183,47,60,25,105,181,133,50,15,81,511.3,606.4,2942.769,0.3,1.16,1.36,0.04,G,Doneeka Lewis
Astou Ndour-Fall,14132,174,1689,644,243,578,59,188,99,119,129,268,48,70,39,78,202,647.9,729,3454.616,3.7,1.22,1.25,0.04,C,Astou Ndour-Fall
Reshanda Gray,12113,161,1586,542,209,431,6,26,118,188,142,297,46,138,40,32,345,579.5,599.1,3274.11975,1.6,0.74,1.13,0.02,F,Reshanda Gray
Dana Evans,8090,98,2179,866,287,783,123,364,169,190,18,110,283,158,68,13,143,385.7,407,4419.38825,2,1.03,1.06,0.02,G,Dana Evans
Amber Jacobs,10030,125,2204,614,207,543,101,295,99,125,30,144,287,238,70,6,186,457.1,493.1,4166.8225,5.55111512312578E-17,0.81,0.96,0.02,G,Amber Jacobs
Morgan Tuck,10090,125,1701,642,242,590,67,208,91,127,77,196,97,107,50,9,157,479.7,478.3,3496.4425,2.5,0.84,0.90,0.02,F,Morgan Tuck
Claudia Neves,8002,106,1526,387,133,385,65,224,56,73,19,75,143,118,76,1,100,361.2,382,2867.87075,0.2,0.63,0.79,0.02,G,Claudia Neves
Sug Sutton,6067,73,1544,429,162,438,45,146,60,77,20,119,264,139,44,4,98,288.7,313.9,3090.613,-1.6,0.65,0.61,0.02,G,Sug Sutton
Michele Van Gorp,12009,153,1502,425,168,385,2,10,87,140,103,174,56,134,23,45,244,523.4,553.9,2685.229,0.5,0.46,0.56,0.02,C,Michele Van Gorp
Nia Coffey,16164,212,3570,1085,390,1035,141,387,164,250,125,556,181,244,97,133,401,733,793.2,7321.748,1.3,0.57,0.52,0.01,F,Nia Coffey
Semeka Randall,8010,98,2289,716,267,721,4,31,178,273,125,182,124,191,86,10,176,350.9,387.2,4009.21075,-0.9,0.32,0.42,0.01,G,Semeka Randall
Jessica Moore,18081,243,2902,638,244,577,0,4,150,204,179,268,97,173,66,32,405,837.1,792.9,5738.38525,2.9,0.35,0.42,0.01,F,Jessica Moore
Chantelle Anderson,10025,125,1562,503,196,418,0,0,111,152,83,170,39,131,24,41,269,449,458.8,2845.715,0.8,0.31,0.37,0.01,C,Chantelle Anderson
Lexie Hull,6069,72,1624,424,142,386,54,173,86,103,79,127,86,77,67,22,216,298.2,319.9,3300.06775,1,0.39,0.32,0.01,G,Lexie Hull
Kelsey Bone,10076,121,3289,1357,587,1248,4,24,179,282,231,538,204,277,76,54,424,457.8,513.4,6438.5325,4.3,0.16,0.19,0.00,C,Kelsey Bone
Katie Lou Samuelson,10106,126,2775,817,282,725,142,422,111,135,57,287,196,99,85,33,197,499.8,520.4,5738.174,3.4,-0.26,-0.15,0.00,F,Katie Lou Samuelson
Shyra Ely-Gash,12046,148,2185,693,252,663,48,150,141,200,97,286,93,155,47,24,244,529.5,590.5,4207.03875,0.5,-0.24,-0.28,-0.01,F,Shyra Ely-Gash
Katrina Colleton,7996,116,2174,506,198,555,19,65,91,128,67,113,148,134,80,27,164,340.9,368.3,3964.51675,0.6,-0.37,-0.32,-0.01,F,Katrina Colleton
Matee Ajavon,20125,275,5626,2237,735,2118,144,541,623,797,209,357,577,544,328,44,701,925.8,978.6,11134.42725,4,-0.74,-0.87,-0.01,G,Matee Ajavon
Jordan Hooper,8062,98,1818,582,201,555,141,408,39,54,58,166,44,71,41,14,130,389.7,409.5,3705.165,1.6,-0.76,-0.89,-0.02,F,Jordan Hooper
Scholanda Dorrell,14063,189,3913,1450,510,1325,109,351,321,458,111,218,179,335,230,49,407,627.7,682.1,7971.455,1.5,-2.00,-2.35,-0.03,G,Scholanda Dorrell
LaTonya Johnson,14007,182,2498,687,238,674,73,258,138,193,61,163,123,160,58,15,268,648,684.8,4788.24775,-1,-3.29,-4.10,-0.07,F,LaTonya Johnson
Kaleena Mosqueda-Lewis,12105,147,1968,799,297,753,137,407,68,78,35,141,99,129,30,11,192,561.7,599.5,3983.4725,0.3,-3.25,-4.34,-0.08,F,Kaleena Mosqueda-Lewis
Michaela Onyenwere,8090,94,2777,1015,358,892,112,342,187,242,101,272,115,183,77,48,331,387.7,410.4,5650.2565,0.4,-4.25,-4.49,-0.08,F,Michaela Onyenwere
Iziane Castro Marques,22086,295,6671,2862,1043,2616,275,861,501,690,147,463,509,534,209,29,502,1039.1,1050.1,13431.0015,7.6,-4.56,-5.39,-0.03,F,Iziane Castro Marques
Kaela Davis,12120,156,1707,578,211,583,47,135,109,146,43,144,141,168,46,12,206,544.5,661.7,3452.35725,-2.9,-5.12,-6.00,-0.15,F,Kaela Davis
Jennifer Lacy,20105,285,4484,1504,542,1387,160,485,260,377,248,423,169,305,119,76,680,942.3,1040.5,9129.24325,0.7,-8.06,-9.48,-0.09,F,Jennifer Lacy
